datehr;lat;lon;p;z;T;RH;SP;DR
2024-01-18 22:50;47.5733947;9.0468587;960;437.9;271.8;94.2;0.6;312.2
2024-01-18 22:50;47.5733947;9.0468587;950;520.6;271.3;90.1;2.1;23.9
2024-01-18 22:50;47.5733947;9.0468587;940;604.5;270.9;89.1;3.8;17
2024-01-18 22:50;47.5733947;9.0468587;930;687.9;270.3;88.8;5.1;19.9
2024-01-18 22:50;47.5733947;9.0468587;920;772.3;269.7;88.9;5.7;25.1
2024-01-18 22:50;47.5733947;9.0468587;910;859.8;269.1;89.5;6.3;31.5
2024-01-18 22:50;47.5733947;9.0468587;900;946.3;268.4;90.5;6.8;31.7
2024-01-18 22:50;47.5733947;9.0468587;890;1033.6;267.7;91.1;6.9;37.4
2024-01-18 22:50;47.5733947;9.0468587;880;1123.3;267.2;90;6.1;43.1
2024-01-18 22:50;47.5733947;9.0468587;870;1212.6;266.7;89.6;5.2;51.1
2024-01-18 22:50;47.5733947;9.0468587;860;1304.1;266.2;89.2;4;61.4
2024-01-18 22:50;47.5733947;9.0468587;850;1395.3;265.7;88.8;3.4;78.4
2024-01-18 22:50;47.5733947;9.0468587;840;1487.5;265.2;88.7;2.9;94.9
2024-01-18 22:50;47.5733947;9.0468587;830;1580.3;264.8;88.5;3.2;94
2024-01-18 22:50;47.5733947;9.0468587;820;1673.2;264.4;88.2;3.6;81.3
2024-01-18 22:50;47.5733947;9.0468587;810;1769.2;264.1;87.5;3;73.3
2024-01-18 22:50;47.5733947;9.0468587;800;1865.6;263.6;87;2.2;49.3
2024-01-18 22:50;47.5733947;9.0468587;790;1962.6;263.2;86.5;1.5;0.7
2024-01-18 22:50;47.5733947;9.0468587;780;2061.4;262.8;85.7;0.3;311.8
2024-01-18 22:50;47.5733947;9.0468587;770;2160.7;262.4;85.3;0.5;265.6
2024-01-18 22:50;47.5733947;9.0468587;760;2261.6;262;85.2;0.9;223.2
2024-01-18 22:50;47.5733947;9.0468587;750;2362.7;261.7;84.8;3.2;250.3
2024-01-18 22:50;47.5733947;9.0468587;740;2465.4;261.5;84.7;5.6;254.1
2024-01-18 22:50;47.5733947;9.0468587;730;2570.6;261.1;85;6.3;256.3
2024-01-18 22:50;47.5733947;9.0468587;715;2728.9;260.8;85.4;7.7;262.2
2024-01-18 22:50;47.5733947;9.0468587;700;2894;261.3;84.9;13.5;268.4
